omg;produktnamn;correct_row;turnover;utd13;utd12;utd11;utd10;ant13;ant12;ant11;ant10;count1;countx;count2;random_results;people_was_right;oddset_was_right;people_was_wrong;oddset_was_wrong;people_max_sum;oddset_max_sum;people_min_sum;oddset_min_sum;people_sum;oddset_sum;people_diff_sum;oddset_diff_sum;odds1_ok;odds2_ok;odds3_ok;people1_ok;people2_ok;people3_ok;id
199923;Stryktipset;X11XX2X2X11XX;0;1843784;22762;1670;380;1;51;736;6819;4;7;2;0;2;2;5;5;671;530;291;369;387;426;380;161;0;0;1;1;0;0;1368
199924;Stryktipset;XX1211X21111X;0;52075;1471;136;40;36;802;9139;65059;7;4;2;0;7;5;1;0;692;592;277;331;539;501;415;261;0;1;1;1;1;1;1369
199925;Stryktipset;212X11222122X;0;340319;5277;352;79;5;203;3218;30282;4;2;7;0;7;6;4;6;727;565;253;350;514;497;474;215;1;1;1;0;0;1;1370
199926;Stryktipset;22211X1122111;0;15035;342;36;0;165;5410;52512;254660;7;1;5;0;8;8;2;3;690;572;277;346;607;510;413;226;1;1;0;1;1;0;1371
199927;Stryktipset;111X11X212XX1;0;182934;4774;395;99;8;193;2465;20794;7;4;2;0;6;5;3;3;660;478;298;402;469;460;362;76;1;1;0;1;0;0;1377
199928;Stryktipset;1X121122X2122;0;359544;7545;653;150;4;120;1467;13463;5;2;6;0;5;5;6;5;756;638;230;302;469;473;526;336;1;0;1;1;1;1;1378
199929;Stryktipset;122X2222222X2;0;47873;1074;91;23;31;870;10820;90473;1;2;10;0;8;8;3;3;726;676;260;279;566;549;466;397;1;0;1;1;0;1;1379
199930;Stryktipset;11111122X2122;0;42038;921;72;26;38;1092;14595;86236;7;1;5;0;8;7;2;3;693;581;274;341;551;488;419;240;1;0;1;1;0;1;1380
199931;Stryktipset;X122112X211X1;0;109678;2616;218;59;18;475;6016;46604;6;3;4;0;7;7;3;3;769;665;223;281;532;507;546;384;1;1;1;1;1;0;1381
199932;Stryktipset;XX1X2XX112112;0;1041842;18221;1251;277;2;72;1110;10567;5;5;3;0;4;3;4;4;686;553;280;357;411;429;406;196;1;0;0;1;0;0;1382
199933;Stryktipset;211121X111211;0;1125;68;0;0;4212;56488;323794;1065784;9;1;3;0;11;10;2;0;721;617;251;315;691;594;470;302;1;1;1;1;1;1;1383
199934;Stryktipset;1221121X1X221;0;48481;1181;89;25;49;1266;17642;129692;6;2;5;0;9;9;1;1;691;550;280;355;554;496;411;195;0;1;1;0;1;1;1384
199935;Stryktipset;11122X221111X;0;1291;77;0;0;3482;47657;282096;928693;7;2;4;0;9;8;0;4;710;591;261;328;685;572;449;263;1;1;1;1;1;1;1385
199936;Stryktipset;1112112XXXX22;0;80249;1582;134;38;29;926;11516;84584;5;4;4;0;7;6;2;3;733;593;237;329;550;527;496;264;1;1;1;1;1;1;1386
199937;Stryktipset;X121X22X2X122;0;415156;16003;1025;235;6;98;1620;14913;3;4;6;0;4;4;5;5;743;606;236;327;463;445;507;279;0;1;0;0;1;0;1387
199938;Stryktipset;X121111211X1X;0;201032;3577;253;64;13;460;6861;57354;8;3;2;0;6;7;3;1;731;588;252;334;517;470;479;254;0;1;1;0;1;1;1388
199939;Stryktipset;XX2111X121122;0;118754;1540;113;0;32;1845;25933;187486;6;3;4;0;9;10;1;2;695;528;271;368;577;491;424;160;1;0;1;1;0;1;1389
199940;Stryktipset;12X221X1X1XX1;0;30868;999;90;0;116;2680;30684;201948;5;5;3;0;7;5;1;3;786;497;205;395;595;427;581;102;0;1;0;1;1;1;1390
199941;Stryktipset;111121112X121;0;5021;169;20;0;753;16647;141963;667445;9;1;3;0;9;10;2;1;727;615;246;319;658;575;481;296;1;1;1;1;1;1;1391
199942;Stryktipset;21XX1X1XXX2XX;0;10000000;45027;3232;666;0;44;649;6647;3;8;2;0;2;3;3;4;741;571;236;342;361;414;505;229;0;0;0;0;0;0;1392
199943;Stryktipset;111X11X1122X2;0;299925;3240;218;53;23;729;11432;98948;7;3;3;0;7;7;3;3;748;645;223;299;532;503;525;346;0;1;0;0;1;1;1393
199944;Stryktipset;11X2XXXXX1111;0;90124;1206;96;0;54;3017;38872;254778;6;6;1;0;7;6;2;6;705;583;261;331;581;498;444;252;1;1;0;1;1;1;1394
199945;Stryktipset;22X12121X1X21;0;774820;9612;757;184;4;203;2726;23702;5;3;5;0;7;5;4;5;698;514;253;384;459;431;445;130;0;0;1;0;1;0;1395
199946;Stryktipset;X211221X21111;0;2941;136;0;0;2309;40773;288083;1141738;7;2;4;0;9;9;2;4;708;595;253;331;666;559;455;264;1;1;1;1;1;1;1396
199947;Stryktipset;1XX2212XX11XX;0;828724;16055;1214;293;4;130;1820;15916;4;6;3;0;4;5;3;3;735;599;235;328;425;428;500;271;0;0;0;0;0;1;1397
199948;Stryktipset;112X2X1XX1X11;0;16945;413;43;0;276;8461;83711;432206;6;5;2;0;7;7;1;3;714;592;243;334;606;520;471;258;1;1;1;1;1;1;1398
199949;Stryktipset;1121122121X1X;0;88791;1582;117;28;34;1201;17178;149222;7;2;4;0;8;7;4;5;747;609;228;326;585;521;519;283;1;1;1;1;1;1;1399
199950;Stryktipset;12X1112211XX2;0;89431;1878;139;35;35;1049;14938;124670;6;3;4;0;8;7;4;4;748;643;223;298;569;522;525;345;1;1;0;1;1;0;1400
199951;Stryktipset;1111X12X122X1;0;14573;699;64;0;250;3897;43889;269136;7;3;3;0;8;7;3;3;709;595;250;333;611;540;459;262;1;1;1;1;1;1;1401
199952;Stryktipset;21X1XX11X122X;0;772153;11955;835;209;3;122;1849;15531;5;5;3;0;5;6;2;1;724;590;241;334;438;443;483;256;0;0;0;0;1;0;1402
200001;Stryktipset;1111X11122X22;0;48062;1001;83;0;88;3160;39192;258715;7;2;4;0;7;7;3;3;736;652;244;296;603;549;492;356;1;1;1;1;1;1;1403
200002;Stryktipset;1XXX221121122;0;51142;1241;95;0;89;2741;37009;264090;5;3;5;0;8;8;2;2;739;611;232;316;585;504;507;295;0;1;1;0;1;1;1404
200003;Stryktipset;X2X21X11X1211;0;828535;15231;1068;249;4;137;2067;18705;6;4;3;0;4;5;5;4;713;569;256;345;438;433;457;224;0;0;1;0;0;1;1405
200004;Stryktipset;21212XX11XXXX;0;871820;19781;1334;292;4;111;1742;16792;4;6;3;0;3;3;4;6;764;607;212;321;436;395;552;286;0;0;0;1;0;1;1406
200005;Stryktipset;221X11X111222;0;624626;7839;566;108;6;301;4409;48688;6;2;5;0;7;8;4;3;740;594;240;335;511;458;500;259;0;1;0;0;1;1;1407
200006;Stryktipset;1111121X111X2;0;11852;317;31;0;442;12330;126710;693000;9;2;2;0;8;8;3;3;777;642;206;300;647;574;571;342;1;1;1;1;1;1;1408
200007;Stryktipset;11X22211112XX;0;19716;621;60;0;251;5954;63111;372951;6;3;4;0;7;7;1;2;736;580;233;337;602;528;503;243;1;0;1;1;0;1;1409
200008;Stryktipset;XX112X22X1X1X;0;46255;897;91;28;81;2628;27177;183333;4;6;3;0;6;5;2;4;767;617;220;318;568;481;547;299;1;1;1;1;1;1;1410
200009;Stryktipset;X2X2XX1X21111;0;1778023;26034;1662;346;2;86;1426;14454;5;5;3;0;6;7;1;1;716;554;248;357;420;445;468;197;0;0;0;0;0;0;1411
200010;Stryktipset;1X1X111111111;0;6499;251;29;0;782;15100;134022;552024;11;2;0;0;8;10;0;0;742;620;235;313;623;550;507;307;1;1;0;1;1;0;1412
200011;Stryktipset;2X2X11112X2X2;0;250617;3656;277;74;13;561;7841;61852;4;4;5;0;5;6;4;2;713;557;249;351;503;471;464;206;1;0;1;1;1;0;1413
200012;Stryktipset;X21X1112112X2;0;20933;310;32;0;503;13298;133538;700213;6;3;4;0;9;8;1;0;772;666;211;283;635;566;561;383;0;1;1;0;1;1;1414
200013;Stryktipset;22212111X21X1;0;4975;173;20;0;930;19992;174793;847542;6;2;5;0;8;8;3;4;780;589;203;337;669;545;577;252;1;1;1;1;1;1;1415
200014;Stryktipset;1X2XX11XX111X;0;27808;794;75;0;144;3769;41193;241476;6;6;1;0;6;6;2;1;740;484;239;402;600;455;501;82;1;0;0;1;1;0;1416
200015;Stryktipset;112212112X1X1;0;204081;4114;282;71;13;406;6257;51907;7;2;4;0;5;6;5;5;740;533;244;370;528;441;496;163;1;0;0;1;1;0;1417
200016;Stryktipset;X2X2111122X11;0;172288;5310;393;93;14;286;4085;36123;6;3;4;0;6;7;3;2;739;552;237;353;502;478;502;199;0;1;0;0;0;1;1418
200017;Stryktipset;121X22X211222;0;599347;12272;743;151;4;123;2150;22200;4;2;7;0;6;5;4;6;735;545;248;364;477;444;487;181;1;0;0;0;1;0;1419
200018;Stryktipset;1X11X1XX21111;0;113878;2369;186;48;19;575;7727;63432;8;4;1;0;6;8;4;3;734;474;249;410;532;453;485;64;1;1;0;0;1;1;1420
200019;Stryktipset;21X11121111X2;0;113543;2484;181;48;18;518;7496;59547;8;2;3;0;6;8;2;2;697;479;268;408;522;451;429;71;1;0;1;1;0;1;1421
200020;Stryktipset;221221X1212X1;0;173702;3736;231;51;11;322;5508;51771;5;2;6;0;7;7;2;4;730;589;248;335;526;475;482;254;0;1;0;0;1;0;1422
200021;Stryktipset;X22211X1XX121;0;488163;9530;591;128;4;129;2201;21346;5;4;4;0;7;5;3;5;703;544;261;362;487;432;442;182;1;0;0;0;1;1;1423
200022;Stryktipset;XX111112111X1;0;39319;947;84;26;48;1254;14910;99710;9;3;1;0;7;7;3;3;689;529;266;369;559;475;423;160;1;1;0;1;1;0;1424
200023;Stryktipset;1211X22211212;0;88917;1552;125;36;20;721;9420;69511;6;1;6;0;7;8;5;4;747;646;230;293;555;526;517;353;1;1;1;1;0;1;1425
200024;Stryktipset;21222XX1X1122;0;22962;589;56;0;102;2971;32259;176139;4;3;6;0;7;7;2;1;708;567;265;347;584;502;443;220;1;1;0;1;1;0;1426
200025;Stryktipset;1121XX121212X;0;93914;1005;76;0;24;1677;22886;146302;6;3;4;0;9;5;2;6;688;529;277;369;588;480;411;160;1;1;0;1;0;1;1427
200026;Stryktipset;X221X1211222X;0;277971;2506;156;38;6;419;7104;61503;4;3;6;0;7;6;2;4;744;552;241;357;545;478;503;195;1;0;1;1;0;1;1428
200027;Stryktipset;11X2112212121;0;82036;974;77;0;55;1927;24978;168743;7;1;5;0;9;7;4;4;722;573;252;345;601;498;470;228;1;1;0;1;1;1;1429
200028;Stryktipset;2222X11XX11X2;0;3599440;10600;529;109;1;95;2013;20624;4;4;5;0;6;6;3;4;760;609;233;319;506;469;527;290;0;1;1;0;1;1;1430
200029;Stryktipset;XX11X211X1111;0;83069;898;70;21;45;1218;16514;115106;8;4;1;0;7;6;3;4;725;591;253;335;575;498;472;256;1;1;1;1;1;1;1431
200030;Stryktipset;21X12221X22X2;0;80277;930;73;22;46;1146;15269;107493;3;3;7;0;6;5;5;5;740;517;261;380;585;476;479;137;1;1;0;1;1;1;1432
200031;Stryktipset;X1121211X2222;0;286206;4449;354;93;6;243;3225;25739;5;2;6;0;5;5;6;6;699;578;273;345;493;455;426;233;1;0;0;1;1;0;1433
200032;Stryktipset;11XXXX1122X11;0;113201;2021;166;44;16;564;7263;57770;6;5;2;0;6;7;2;2;760;597;238;322;547;489;522;275;0;1;0;0;1;1;1434
200033;Stryktipset;1111X12111XX1;0;3503;169;0;0;1277;21604;163302;691856;9;3;1;0;8;8;2;2;723;633;252;306;673;589;471;327;1;1;1;1;1;1;1435
200034;Stryktipset;XX112X1X21112;0;51381;1511;129;38;45;963;11887;84849;6;4;3;0;6;5;3;2;751;615;229;316;552;526;522;299;1;1;1;1;1;0;1436
200035;Stryktipset;22X222112X2X1;0;36381;696;58;0;86;3361;41370;259433;3;3;7;0;8;6;1;3;777;564;219;351;619;482;558;213;1;1;0;0;1;1;1437
200036;Stryktipset;1XX1X22121122;0;43830;1101;86;0;78;2321;30438;214303;5;3;5;0;5;7;4;4;555;612;353;317;469;535;202;295;1;1;1;0;1;1;1438
200037;Stryktipset;1212111X121X1;0;36434;735;59;0;92;3409;43238;279195;8;2;3;0;8;8;3;1;564;642;341;302;527;539;223;340;1;0;1;1;1;1;1439
200038;Stryktipset;XX2XXX222X212;0;10000000;113459;5330;1160;0;13;293;2841;1;6;6;0;1;1;6;5;557;585;349;339;384;380;208;246;0;0;0;0;0;0;1440
200039;Stryktipset;11122XX2121X1;0;213328;2205;162;43;24;793;11373;89171;6;3;4;0;5;6;4;1;553;603;350;320;455;501;203;283;1;1;1;0;1;1;1441
